ID,PROGRAMA,SEXO,PUNTAJE SABER 11,ESTRATO,FECHA DE NACIMIENTO,ESTADO A 2022-2,Status.20171,Status.20172,Status.20181,Status.20182,Status.20191,Status.20192,Status.20201,Status.20202,Status.20211,Status.20212,Status.20221,Status.20222,CANTIDAD DE SEMESTRES ACTIVOS EN LA U,Creditos.20171,Creditos.20172,Creditos.20181,Creditos.20182,Creditos.20191,Creditos.20192,Creditos.20201,Creditos.20202,Creditos.20211,Creditos.20212,Creditos.20221,Creditos.20222,Promedio.20171,Promedio.20172,Promedio.20181,Promedio.20182,Promedio.20191,Promedio.20192,Promedio.20201,Promedio.20202,Promedio.20211,Promedio.20212,Promedio.20221,Promedio.20222
-,INGENIERIA CIVIL,M,320,1,9/14/1997,DESERTOR,1,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,2.88,-,-,-,-,-,-,-,-,-,-,-
-,INGENIERIA DE SISTEMAS,M,332,1,12/3/1984,DESERTOR,1,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,4.08,-,-,-,-,-,-,-,-,-,-,-
-,INGENIERIA CIVIL,F,284,2,3/7/2000,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,13,15,18,20,19,20,15,15,15,12,0,0,4.01,3.87,3.15,3.62,3.98,3.82,4.26,3.87,4.26,4.3,-,-
-,INGENIERIA CIVIL,M,335,1,1/11/1999,GRADUADO,1,1,1,1,1,1,1,1,1,1,1,1,12,9,14,13,6,6,6,19,20,16,14,6,15,3.81,3.54,3.16,3.2,3.8,3.54,3.71,3.65,3.65,3.82,3.82,3.2
-,INGENIERIA AMBIENTAL,F,251,2,11/9/1998,DESERTOR,1,1,1,1,1,1,0,0,0,0,0,0,6,5,18,20,19,19,19,0,0,0,0,0,0,3.31,3.01,3.1,3.09,3,3.2,-,-,-,-,-,-
-,INGENIERIA AGROINDUSTRIAL,M,372,2,,DESERTOR,1,1,0,1,0,0,0,0,0,0,0,0,3,12,11,0,11,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,-,-,-,-,-
-,INGENIERIA CIVIL,F,229,1,2/13/1998,ACTIVO,1,0,0,1,1,1,1,1,1,1,1,1,10,13,0,0,17,18,18,18,17,0,17,21,15,3.92,-,-,3.45,3.58,3.55,3.83,4.05,4.07,3.62,3.62,
-,INGENIERIA INDUSTRIAL,M,291,2,5/20/1999,ACTIVO,1,1,0,0,1,0,1,1,1,0,1,1,8,15,17,0,0,15,15,14,16,12,,0,14,3.55,3.28,-,-,3.69,,3.74,3.58,3.74,,,
-,INGENIERIA CIVIL,M,223,1,5/30/1995,DESERTOR,1,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,2.33,-,-,-,-,-,-,-,-,-,-,-
-,INGENIERIA CIVIL,M,235,3,1/9/1998,DESERTOR,1,1,1,1,1,1,0,0,0,0,0,0,6,13,15,18,6,14,17,0,0,0,0,0,0,3.68,2.53,3.01,2.9,2.73,2.7,-,-,-,-,-,-
-,INGENIERIA CIVIL,F,329,2,2/12/1999,GRADUADO,1,1,1,1,1,1,1,1,1,1,1,0,11,13,15,18,18,13,17,16,17,16,12,12,0,3.88,3.27,3.3,3.46,3.25,3.41,3.51,4.05,3.76,3.68,3.68,-
-,INGENIERIA INDUSTRIAL,M,258,4,10/28/2000,ACTIVO,1,1,1,1,1,1,1,1,1,1,1,1,12,5,17,18,10,15,16,16,21,17,16,21,12,3.5,3.22,3.34,3.25,3.16,3.05,3.96,3.59,3.96,3.73,3.73,
-,INGENIERIA CIVIL,F,250,2,11/20/1999,DESERTOR,1,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,2.09,-,-,-,-,-,-,-,-,-,-,-
-,INGENIERIA CIVIL,F,292,3,6/21/2000,GRADUADO,1,1,1,1,1,1,1,1,1,1,1,0,11,13,5,5,15,17,17,18,15,12,6,12,0,3.78,3.59,3.17,3.55,3.72,3.95,4.19,4.37,4.19,4.05,4.05,-
-,INGENIERIA AGROINDUSTRIAL,M,287,,6/24/1999,DESERTOR,1,1,1,0,0,0,0,0,0,0,0,0,3,17,19,19,0,0,0,0,0,0,0,0,0,3.5,0.46,0.47,-,-,-,-,-,-,-,-,-
-,INGENIERIA CIVIL,M,238,4,10/31/1999,AUSENTE,1,1,1,1,1,1,1,1,1,1,1,0,11,13,18,18,12,15,16,14,16,11,16,6,0,3.45,3.48,3.06,3.23,3.65,3.6,3.89,3.28,3.89,3.61,3.61,-
-,INGENIERIA CIVIL,F,255,2,9/24/1999,GRADUADO,1,1,1,1,1,1,1,1,1,1,1,0,11,13,5,19,12,11,13,21,19,0,3,12,0,3.95,3.97,3.26,3.38,3.27,3.48,3.44,3.61,4.01,3.5,3.5,-
-,INGENIERIA CIVIL,F,323,2,,GRADUADO,1,1,1,1,1,1,1,1,1,1,1,0,11,13,15,14,18,19,19,17,7,17,6,12,0,3.81,3.33,2.88,3.38,3.31,3.85,3.98,4.34,3.98,3.9,3.9,-
-,INGENIERIA CIVIL,M,254,2,5/24/2000,ACTIVO,1,1,1,1,1,1,1,0,1,1,1,1,11,13,18,18,15,16,16,19,0,19,19,21,12,3.02,3.28,2.94,3.3,3.06,2.33,3.38,-,3.38,3.84,3.84,
-,INGENIERIA CIVIL,F,280,2,11/14/1999,ACTIVO,1,1,1,1,0,0,1,1,1,1,1,1,10,10,14,16,15,0,,13,9,16,18,17,18,3.82,3.73,3.5,3.26,-,,3.76,3.9,3.93,3.79,3.79,
-,INGENIERIA ELECTRICA,M,296,3,5/18/1999,DESERTOR,1,1,1,1,1,1,1,0,1,0,0,0,8,14,12,15,14,15,15,9,0,12,0,0,0,3.96,2.88,3.14,2.91,3.51,3.19,3.82,-,3.53,-,-,-
-,INGENIERIA ELECTRONICA,M,351,2,11/16/1999,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,5,17,17,18,16,16,17,18,13,12,0,0,4.07,4.06,4.34,4.06,4.19,4.13,4.55,4.66,4.55,0,-,-
-,INGENIERIA CIVIL,M,430,2,,ACTIVO,1,1,1,1,1,1,1,1,1,1,1,1,12,13,15,16,6,15,16,15,17,15,18,18,7,3.43,3.41,2.2,3.2,3.34,3.43,3.38,3.07,3.38,3.45,3.45,
-,INGENIERIA AGROINDUSTRIAL,M,273,1,10/28/2000,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,16,19,19,19,15,15,14,14,14,12,0,0,3.76,3.57,3.21,3.52,3.82,3.94,4.34,4.11,4.29,0,-,-
-,INGENIERIA AMBIENTAL,F,265,4,8/9/1999,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,16,18,6,16,15,18,17,14,16,12,0,0,3.36,3.38,3.08,3.63,4.04,3.94,3.96,4.1,4.5,0,-,-
-,INGENIERIA CIVIL,F,303,2,2/26/2000,GRADUADO,1,1,1,1,1,1,1,0,1,1,1,1,11,13,18,16,16,18,18,16,0,0,21,8,0,3.38,3.31,2.88,3.23,3.46,3.57,3.69,-,3.69,3.61,3.61,3.61
-,INGENIERIA CIVIL,M,255,2,6/28/2000,GRADUADO,1,1,1,1,1,1,1,1,1,1,1,0,11,13,15,18,15,16,17,17,10,17,18,14,0,3.36,3.31,3.12,3.28,3.15,3.34,3.64,3.21,3.64,3.87,3.87,-
-,INGENIERIA DE SISTEMAS,M,323,1,8/7/1999,AUSENTE,1,1,1,1,1,1,1,0,1,1,1,0,10,15,5,14,16,16,16,12,0,14,15,12,0,3.76,3.44,3.27,3.9,3.53,3.8,4.62,-,4.15,4.5,4.5,-
-,INGENIERIA INDUSTRIAL,M,296,1,1/10/1999,DESERTOR,1,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,3.28,-,-,-,-,-,-,-,-,-,-,-
-,INGENIERIA INDUSTRIAL,F,407,2,7/16/1995,DESERTOR,1,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,4.14,-,-,-,-,-,-,-,-,-,-,-
-,INGENIERIA CIVIL,F,522,2,2/24/1997,GRADUADO,1,1,1,1,1,1,0,0,0,0,0,0,6,18,21,21,19,20,20,0,0,0,0,0,0,3.68,3.5,3.77,3.64,3.99,0.8,-,-,-,-,-,-
-,INGENIERIA CIVIL,M,236,3,5/15/1999,GRADUADO,1,1,1,1,1,1,1,1,1,1,1,1,12,13,13,18,18,13,18,7,17,0,15,6,12,3.37,2.88,3.31,3.45,3.25,3.65,3.71,3.54,3.38,3.55,3.55,0
-,INGENIERIA ELECTRICA,M,420,2,4/28/1984,GRADUADO,1,1,1,1,1,1,1,1,1,1,1,0,11,14,12,15,18,15,15,10,18,0,18,12,0,3.76,3.43,3.33,3.4,3.5,3.36,3.8,3.87,3.8,3.6,3.6,-
-,INGENIERIA CIVIL,F,287,1,4/1/2000,ACTIVO,1,1,1,1,1,0,1,1,1,1,1,1,11,13,15,18,18,0,18,10,10,16,16,12,15,3.62,3.35,3.25,3.64,-,,3.47,3.45,3.6,3.18,3.18,
-,INGENIERIA AMBIENTAL,F,390,2,4/29/1997,ACTIVO,1,1,1,1,1,1,1,1,1,1,1,1,12,16,18,18,15,19,19,19,9,18,14,18,6,2.69,2.96,3.19,3.12,3.31,3.52,3.72,3.53,3.72,3.71,3.71,
-,INGENIERIA ELECTRICA,M,317,2,4/1/1982,GRADUADO,1,1,1,0,0,0,0,0,0,0,0,0,3,13,13,19,0,0,0,0,0,0,0,0,0,4.5,4.8,4.59,-,-,-,-,-,-,-,-,-
-,INGENIERIA CIVIL,M,407,3,10/9/1997,GRADUADO,1,0,1,1,1,1,1,1,1,0,0,0,8,20,0,20,20,21,21,17,12,12,,,,3.36,-,3.32,3.62,3.69,3.54,3.91,,3.91,,,
-,INGENIERIA CIVIL,M,266,2,10/2/2000,AUSENTE,1,1,1,1,1,1,1,1,1,1,1,0,11,13,15,16,19,16,16,15,10,0,19,15,0,3.98,3.2,3.38,3.58,3.42,3.42,3.38,3.93,3.38,4.07,4.07,-
-,INGENIERIA INDUSTRIAL,F,332,2,5/5/1998,GRADUADO,1,1,1,1,1,1,1,1,1,1,1,0,11,15,17,18,14,6,6,17,17,20,10,18,0,3.77,3.66,3.64,2.98,3.45,3.54,3.84,3.65,4.09,3.69,3.69,-
-,INGENIERIA CIVIL,M,262,1,6/2/1997,GRADUADO,1,1,1,1,1,1,1,1,1,1,1,0,11,13,19,5,20,16,16,18,19,0,1,12,0,3.39,3.24,3.34,3.23,3.58,3.31,3.87,3.71,3.87,3.99,3.99,-
-,INGENIERIA CIVIL,F,293,2,10/12/1999,ACTIVO,1,1,1,1,1,1,1,1,1,0,1,1,11,13,15,6,9,17,17,17,14,7,0,8,10,3.72,3.33,3.3,4.03,3.19,3.33,3.81,3.76,3,-,,
-,INGENIERIA CIVIL,F,302,3,,GRADUADO,1,1,1,1,1,1,1,1,1,1,1,0,11,5,15,16,15,15,15,17,19,20,6,12,0,3.76,3.37,3.11,3.39,3.4,3.73,3.89,3.86,3.89,4.17,4.17,-
-,INGENIERIA CIVIL,F,310,3,9/15/2000,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,13,15,18,16,16,18,15,16,15,12,0,0,3.76,3.75,3.58,3.81,3.66,3.86,4.34,4.21,3.71,4.6,-,-
-,INGENIERIA ELECTRONICA,M,248,1,5/31/2000,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,15,16,17,14,18,18,16,16,15,12,0,0,3.49,3.82,3.43,3.21,3.82,3.83,3.97,3.8,3.91,3.8,-,-
-,INGENIERIA AMBIENTAL,F,247,,,ACTIVO,1,1,1,1,1,1,1,1,1,1,1,1,12,16,18,16,16,13,15,18,15,18,18,18,12,3.2,3.51,2.98,3.11,3.46,3.01,2.98,3.69,2.98,3.12,3.18,
-,INGENIERIA DE SISTEMAS,M,382,3,12/19/1995,ACTIVO,1,1,1,1,1,1,1,0,1,1,1,1,11,15,16,16,16,17,19,17,0,0,19,18,3,3.2,3.47,3.26,3.4,3.32,3.46,3.82,-,3.88,3.83,3.83,
-,INGENIERIA ELECTRONICA,M,305,2,10/10/1999,DESERTOR,1,1,1,0,0,0,0,0,0,0,0,0,3,5,17,17,0,0,0,0,0,0,0,0,0,3.81,3.1,3.29,-,-,-,-,-,-,-,-,-
-,INGENIERIA INDUSTRIAL,M,265,2,9/27/1999,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,15,17,18,17,19,19,12,15,12,12,0,0,3.71,3.66,3.69,3.72,4.05,3.69,4.6,4.42,4.6,4.4,-,-
-,INGENIERIA CIVIL,M,569,5,11/19/1993,GRADUADO,1,1,1,1,1,1,1,0,0,0,0,0,7,17,16,12,16,17,19,0,0,0,0,0,0,3.38,3.54,3.18,3.53,3.21,3.58,,-,-,-,-,-
-,INGENIERIA INDUSTRIAL,F,249,1,8/8/2000,GRADUADO,1,1,1,1,1,1,1,1,1,0,0,0,9,15,17,18,18,16,17,18,21,18,0,0,0,4.02,3.64,3.78,3.98,3.49,3.49,4.04,4.03,4.28,-,-,-
-,INGENIERIA CIVIL,M,336,3,1/27/2000,GRADUADO,1,1,1,1,1,1,1,1,1,0,0,0,9,5,15,5,17,15,15,12,20,12,0,0,0,4.34,4.08,4.03,4.04,4.08,4.29,3.8,4.41,4.15,-,-,-
-,INGENIERIA CIVIL,F,311,3,12/17/2000,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,5,5,16,17,16,18,19,14,0,15,0,0,3.59,3.71,3.74,3.81,3.59,3.63,3.73,3.86,3.7,3.4,-,-
-,INGENIERIA INDUSTRIAL,M,,,11/25/1997,GRADUADO,1,1,1,1,1,1,1,1,0,0,0,0,8,19,18,19,20,18,20,,15,0,0,0,0,3.42,3.34,3.19,3.5,3.68,3.63,,,-,-,-,-
-,INGENIERIA CIVIL,M,291,3,4/11/2001,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,13,15,18,16,16,16,18,16,12,12,0,0,3.82,3.58,3.27,3.58,3.73,4,4.04,4.01,4.04,0,-,-
-,INGENIERIA DE SISTEMAS,M,345,2,4/11/2000,DESERTOR,1,0,1,1,1,1,1,0,1,1,0,0,8,15,0,15,12,12,12,11,,11,8,,,2.86,-,2.94,2.24,4.02,1.03,0.5,,0.34,0.55,,
-,INGENIERIA DE SISTEMAS,M,,,1/0/1900,DESERTOR,1,1,0,0,0,0,0,0,0,0,0,0,2,15,9,0,0,0,0,0,0,0,0,0,0,3.74,3.83,-,-,-,-,-,-,-,-,-,-
-,INGENIERIA AMBIENTAL,M,300,,,AUSENTE,1,1,1,1,1,1,1,1,1,1,1,0,11,16,18,18,19,19,19,,18,14,12,6,0,3.32,3.78,3.08,3.22,3.19,3.73,,3.98,,3.63,3.63,-
-,INGENIERIA CIVIL,M,293,3,1/6/1999,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,13,15,5,14,15,15,18,16,0,12,0,0,3.96,3.53,3.75,3.54,3.49,3.7,3.93,3.87,3.93,4.5,-,-
-,INGENIERIA CIVIL,M,286,3,8/25/1999,DESERTOR,1,1,0,0,0,0,0,0,0,0,0,0,2,5,15,0,0,0,0,0,0,0,0,0,0,3.82,3.61,-,-,-,-,-,-,-,-,-,-
-,INGENIERIA CIVIL,M,336,1,9/14/2000,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,13,15,18,17,18,18,12,15,0,12,0,0,4.36,4.24,4.06,3.96,4.58,4.29,4.53,4.53,4.46,4.5,-,-
-,INGENIERIA CIVIL,F,288,1,12/25/2000,ACTIVO,1,1,1,1,1,1,1,1,1,1,0,1,11,13,15,18,16,14,16,15,18,0,6,0,12,3.79,3.17,3.38,3.66,3.42,3.37,3.89,3.82,4.09,3.65,-,
-,INGENIERIA CIVIL,M,264,1,5/26/2000,GRADUADO,1,1,1,0,1,1,1,1,1,1,1,0,10,13,15,15,0,16,18,19,20,0,19,21,,3.55,2.87,2.94,-,3.24,3.6,3.49,3.61,3.49,3.93,3.93,
-,INGENIERIA INDUSTRIAL,F,340,3,5/4/1999,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,15,17,18,17,19,19,18,15,12,12,0,0,3.85,3.74,3.95,3.85,4.07,4.11,4.27,4.46,4.68,0,-,-
-,INGENIERIA AGROINDUSTRIAL,M,353,1,,ACTIVO,1,1,1,1,1,1,1,1,1,1,1,1,12,17,16,19,16,16,16,12,6,0,21,16,16,2.1,3.22,3.16,3.41,3.36,3.03,4,3.5,4,3.77,3.77,
-,INGENIERIA CIVIL,M,471,1,11/13/1997,GRADUADO,1,1,1,1,1,1,1,0,0,0,0,0,7,18,21,21,20,17,18,12,0,0,0,0,0,3.49,3.67,3.69,4.03,4.1,4.18,4.1,-,-,-,-,-
-,INGENIERIA CIVIL,M,498,3,11/2/1987,DESERTOR,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,-,-,-,-,-,-,-,-,-,-,-
-,INGENIERIA INDUSTRIAL,M,250,3,11/22/1998,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,15,18,18,16,21,21,12,15,12,12,0,0,4,3.96,4.24,3.98,3.99,3.96,4.65,4.46,4.65,4.6,-,-
-,INGENIERIA CIVIL,M,228,1,,DESERTOR,1,1,1,0,1,1,0,0,0,0,0,0,5,13,17,19,0,16,16,,,,,,,3.22,3.18,3.04,-,3.46,3.37,,,,,,
-,INGENIERIA ELECTRICA,M,317,2,,GRADUADO,1,1,1,1,1,1,1,1,1,1,1,0,11,14,12,15,10,18,18,18,20,18,21,3,0,3.75,3.13,3.19,3.57,3.46,3.74,3.75,4.01,3.98,1.1,3.77,-
-,INGENIERIA INDUSTRIAL,M,280,2,12/11/2000,ACTIVO,1,1,0,1,1,1,1,1,1,1,1,1,11,15,18,0,3,15,15,16,15,16,16,16,14,3.39,3.58,-,1.8,3.36,3.54,3.61,3.75,3.61,3.64,3.64,
-,INGENIERIA INDUSTRIAL,M,389,1,11/12/1996,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,15,17,18,17,19,19,12,15,12,12,0,0,4.27,4.18,3.89,3.9,3.82,4.08,3.93,3.72,3.93,0,-,-
-,INGENIERIA ELECTRONICA,M,417,2,1/14/1991,GRADUADO,1,1,1,1,1,1,1,1,1,0,1,0,10,15,17,18,16,16,17,12,18,12,0,12,0,4.25,3.69,3.46,3.18,3.74,3.68,4.09,4.27,4.09,-,,-
-,INGENIERIA INDUSTRIAL,M,263,1,4/9/1999,DESERTOR,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,-,-,-,-,-,-,-,-,-,-,-
-,INGENIERIA CIVIL,M,274,3,3/14/1998,ACTIVO,1,1,1,1,1,1,1,1,1,1,0,1,11,13,18,16,16,18,18,16,16,0,12,0,7,3.6,3.1,2.89,3.28,3.17,3.19,3.64,3.63,3.21,3.6,-,
-,INGENIERIA ELECTRICA,M,499,2,5/31/1993,GRADUADO,1,1,1,1,1,1,1,1,1,0,0,0,9,14,20,16,16,12,19,13,13,0,0,0,0,4.05,3.85,,3.67,3.77,3.88,3.96,4.32,3.96,-,-,-
-,INGENIERIA INDUSTRIAL,M,321,1,10/11/1999,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,15,17,6,17,19,19,18,15,12,12,0,0,3.75,3.75,4.17,4.26,4.39,4.06,4.31,4.26,4.31,4.2,-,-
-,INGENIERIA CIVIL,M,457,3,4/17/1999,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,5,15,18,17,15,15,17,18,0,12,0,0,4.32,4.19,4.09,3.99,4.33,4.22,4.43,4.74,4.4,0,-,-
-,INGENIERIA INDUSTRIAL,F,327,2,9/20/2000,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,15,17,5,17,19,19,18,15,12,12,0,0,3.91,3.84,4.12,3.94,4.02,4.02,4.21,4.42,4.21,0,-,-
-,INGENIERIA AMBIENTAL,F,254,5,1/6/1999,AUSENTE,1,1,1,1,1,1,1,1,1,1,1,0,11,16,18,18,15,13,18,13,18,19,15,3,0,3.52,3.19,3.74,3.42,3.62,3.37,3.98,3.63,3.98,3.74,3.74,-
-,INGENIERIA CIVIL,M,244,4,11/29/1999,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,13,15,18,16,16,16,15,15,0,12,0,0,3.82,3.52,3.24,3.89,4.33,3.77,4.18,3.83,3.99,0,-,-
-,INGENIERIA AMBIENTAL,F,282,1,8/22/2000,DESERTOR,1,1,1,1,1,1,1,1,1,1,0,0,10,16,18,18,16,15,18,14,16,14,18,0,0,3.84,3.41,3.21,3.59,3.7,3.77,3.81,3.49,3.94,1.17,-,-
-,INGENIERIA CIVIL,F,302,3,,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,13,15,18,18,18,18,19,15,19,21,0,0,3.93,3.25,3.39,3.37,3.23,3.55,3.89,3.85,3.89,1.71,-,-
-,INGENIERIA CIVIL,F,366,2,4/22/1987,DESERTOR,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,3.34,-,-,-,-,-,-,-,-,-,-,-
-,INGENIERIA CIVIL,M,293,3,2/5/2000,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,13,15,18,17,18,18,18,15,12,12,0,0,4.33,3.87,3.53,3.47,4.56,4.14,4.39,4.51,4.39,4.5,-,-
-,INGENIERIA CIVIL,M,,,1/0/1900,DESERTOR,1,1,0,0,0,0,0,0,0,0,0,0,2,13,12,0,0,0,0,0,0,0,0,0,0,3.02,0.65,-,-,-,-,-,-,-,-,-,-
-,INGENIERIA CIVIL,M,514,1,2/21/1991,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,13,15,18,18,18,18,21,19,0,12,0,0,3.86,3.66,3.46,3.55,3.7,3.67,3.96,3.73,3.96,0,-,-
-,INGENIERIA DE SISTEMAS,M,241,3,12/20/1999,DESERTOR,1,1,0,0,0,1,1,1,1,0,0,0,6,12,15,0,0,0,,13,11,14,,,,3.36,2.59,-,-,-,3.68,3.38,3.34,3.53,,,
-,INGENIERIA CIVIL,M,257,2,8/26/1981,GRADUADO,1,1,1,1,1,1,1,1,1,1,1,0,11,13,15,16,12,13,13,20,17,14,20,12,0,3.73,3.51,3.31,3.3,3.78,3.63,4.32,4.04,4.32,4.51,4.51,-
